listing_id,branch_id,agent_address,agent_postcode,short_description,description,property_id,property_type,address,price_min,price_max,latitude,longitude,lad20cd,lad20nm
42223372,"[""14476""]","[""Rawlings House, 2a Milner Street, London""]","[""SW3 2PU""]",A stunning and unique four bedroom maisonette in a wonderful red brick building in the heart of Chelsea.,"This spectacular maisonette provides plenty of space for any family and benefits from unusually high ceilings and a huge reception. The ground floor consists of a modern fully fitted eat-in-kitchen which opens onto a large double reception with high ceilings, wooden floors and plenty of light. You further benefit from a separate conservatory off the reception which can be used as a study. The remainder of this beautiful property comprises of a guest cloakroom, master bedroom with a walk-in-wardrobe and en-suite, three bedrooms, family bathroom and a private patio.Draycott Place is well positioned for the shops, bars and restaurants of Sloane Square and Kings Road, whilst South Kensington is also a short walk away. Ideally located for London Underground Services at Sloane Square Station (District and Circle Lines) and South Kensington Station (Piccadilly, District and Circle Lines).",28580355,Flat,"[""Draycott Place, London SW3""]",1950,1950,51.491394,-0.163082,E09000020,Kensington and Chelsea
48613198,"[""12688""]","[""2 Westferry Road, London""]","[""E14 8JT""]","Offering an abundance of living space and an excellent location, is this four-bedroom Town House. Berry Cottages has been fully refurbished and comprises of a lounge, separate kitchen/dining room, a modern family bathroom and four double bedrooms. Further benefits include storage space, front and rear gardens, gas central heating and double glazing. Perfect for sharers! Viewing Highly Recommended.","Offering an abundance of living space and an excellent location, is this four-bedroom Town House. Berry Cottages has been fully refurbished and comprises of a lounge, separate kitchen/dining room, a modern family bathroom and four double bedrooms. Further benefits include storage space, front and rear gardens, gas central heating and double glazing. Perfect for sharers! Viewing Highly Recommended.",7863757,Terraced house,"[""Berry Cottages, Repton Street, London E14""]",669,681,51.51572,-0.03723,E09000030,Tower Hamlets
50121699,"[""26612""]","[""364 Kilburn High Road, Kilburn,, London""]","[""NW6 2QH""]","Brand new 1 bedroom apartment set in a red brick period conversion just off the Finchley Road. Comprises a bright and spacious reception room with a modern open plan fitted kitchen, fully tiled bathroom and a sizeable double bedroom. ","DescriptionBrand new 1 bedroom apartment set in a red brick period conversion just off the Finchley Road.Comprises a bright and spacious reception room with a modern open plan fitted kitchen, fully tiled bathroom and a sizeable double bedroom.Benefits from wood laminate flooring, double glazing and ample fitted storage. Finished to a high standard, with contemporary decor.Very close to Finchley Road Underground and Finchley Road & Frognal Overground stations, and the many shopping and leisure amenities of the O2 Centre.***Heating included in the rent***",17213984,Flat,"[""Jesmond Dene, Lithos Road, London NW3"",""Lithos Road, London NW3""]",340,340,51.549763,-0.183204,E09000007,Camden
47656292,"[""7418""]","[""92 High Street, Ruislip""]","[""HA4 8LS""]","<p class=""top"">Situated in the heart of Ruislip Town Centre within walking distance of the station and the High Street, this superb and larger than average one bedroom apartment boasting sleek and modern interiors. This luxury apartment briefly comprises: Spacious lounge open planned with the stylish kitchen, modern bathroom suite and good size bedroom. The property benefits include: Double glazing, under floor heating &amp; own garden area. Located on Pembroke Road, this property enjoys splendid access to local amenities, all of them just a short walk away. Ruislip High Street, Ruislip and West Ruislip train stations offering access to the Metropolitan, Piccadilly and Central Lines as well as Overland Rail, all within a short distance making this one of the most conveniently positioned apartment buildings in the area.</p><p class=""top"">You may download, store and use the material for your own personal use and research. You may not republish, retransmit, redistribute or otherwise make the material available to any party or make the same available on any website.These particulars, whilst believed to be accurate are set out as a general outline only for guidance and do not constitute any part of an offer or contract. Intending purchasers should not rely on them as statements or representation of fact, but must satisfy themselves by inspection or otherwise as to their accuracy. No person in this firms employment has the authority to make or give any representation or warranty in respect of the property.</p>","Situated in the heart of Ruislip Town Centre within walking distance of the station and the High Street, this superb and larger than average one bedroom apartment boasting sleek and modern interiors. This luxury apartment briefly comprises: Spacious lounge open planned with the stylish kitchen, modern bathroom suite and good size bedroom. The property benefits include: Double glazing, under floor heating & own garden area. Located on Pembroke Road, this property enjoys splendid access to local amenities, all of them just a short walk away. Ruislip High Street, Ruislip and West Ruislip train stations offering access to the Metropolitan, Piccadilly and Central Lines as well as Overland Rail, all within a short distance making this one of the most conveniently positioned apartment buildings in the area.You may download, store and use the material for your own personal use and research. You may not republish, retransmit, redistribute or otherwise make the material available to any party or make the same available on any website.These particulars, whilst believed to be accurate are set out as a general outline only for guidance and do not constitute any part of an offer or contract. Intending purchasers should not rely on them as statements or representation of fact, but must satisfy themselves by inspection or otherwise as to their accuracy. No person in this firms employment has the authority to make or give any representation or warranty in respect of the property.",31258080,Flat,"[""Pembroke Road, Ruislip Manor, Ruislip HA4""]",265,265,51.572037,-0.42059,E09000017,Hillingdon
47421407,"[""22050""]","[""595 Holloway Road, London""]","[""N19 4DJ""]","Located on Holloway Road N7, we are pleased to offer this great 2 bed modern apartment set on the first floor of this recently refurbished building.  The apartment comprises 2 double bedrooms, fully tiled luxurious bathroom, open plan lounge / fully fitted modern kitchen with integrated fridge freezer, washing machine and gas hob.  The property further boasts wood flooring, gas central heating, double glazing and is conveniently situated close to Archway, Holloway and Tufnell Park Tube Stations.  EPC - C","Located on Holloway Road N7, we are pleased to offer this great 2 bed modern apartment set on the first floor of this recently refurbished building.The apartment comprises 2 double bedrooms, fully tiled luxurious bathroom, open plan lounge / fully fitted modern kitchen with integrated fridge freezer, washing machine and gas hob.The property further boasts wood flooring, gas central heating, double glazing and is conveniently situated close to Archway, Holloway and Tufnell Park Tube Stations.EPC - C",30381495,Flat,"[""Holloway Road, London N7""]",369,369,51.55975,-0.121997,E09000019,Islington
44600895,"[""51689""]","[""Park House (4th Floor), 22 Park Street, Croydon""]","[""CR0 1YE""]",One word...WoW' - available from December 2017 Talk about amazing and spacious - The landlord has spared no expenses refurbishing this first floor apartment. ,"One word...WoW' - available from December 2017Talk about amazing and spacious - The landlord has spared no expense with refurbishing this first floor apartment.Click on the page/link and see ...Better, yet come and see for yourself.• Your apartment is situated on the first floor of the award winning 'Hair Deco' Salon.• Your home has a separate entrance leading into the flat;• Complemented with modern lighting / Interior / fixture and fittings• Two Spacious, carpeted and well thought-out bedrooms - with shelving;• Open-plan living with fitted kitchen;• 3 piece bathroom suite / utility area;• Exposed internal brick wall;• Light and airy throughout.Plus an array of shops and amenities situated literally on your doorstep!Call now for an immediate viewing - this apartment won't stay for long - So Hurry and Call us now.",29429339,Maisonette,"[""Manor Lane, Lee SE12""]",323,323,51.45246,0.005509,E09000023,Lewisham
50074521,"[""58879""]","[""360 Brockley Road, London""]","[""SE4 2BY""]","Bryan and Keegan are pleased to offer to the market this Bright and spacious furnished top floor apartment with two double bedrooms, private balcony with tree views and located within easy reach of public transport.","  This fabulous apartment has lots to offer; Its large, bright and well located. We feel that it would be well suited to either a professional couple or two friends.Key features include two spacious double bedrooms, a modern kitchen fitted with breakfast bar, built in wardrobes, a neutral bathroom suite with large luxury walk in shower, a large reception room with French doors leading to a private balcony with views overlooking trees and green space, gas central heating and double glazing.Edgehill Lodge is situated on a quiet road but close to Crofton Park and Nunhead amenities offering numerous shops, bars, restaurants and green parkland. Transport facilities such as Crofton Park or Honor Oak can be found within walking distance, giving anyone excellent links into the City, West End and Canary Wharf.",20910237,Flat,"[""Turnham Road, London SE4""]",312,312,51.455704,-0.042656,E09000023,Lewisham
45813882,"[""54584""]","[""39 Great Windmill Street""]","[""W1D 7LX""]","Pictures to follow! And can be seen here: Area: Amazing flat in NW6 - West Hampstead and South Hampstead - lovely part of London - safe, well-connected, huge range of restaurants and vibrant hi... ** Property Reference: 317685 **","Property Reference: 317685.Pictures to follow! And can be seen here:Area:Amazing flat in NW6 - West Hampstead and South Hampstead - lovely part of London - safe, well-connected, huge range of restaurants and vibrant high street.Very quiet street. As close as you can get to central London without the noise, hustle and bustle but with some greenery instead!New, high quality double bed and mattresses in rooms. Lots of cupboard and storage space. Whole flat furnished to a high spec incl. Living room 65"" 4K TV connected to Netflix above the fireplace.Super spacious - c.1200 square ft. 2 bedroom flat.Parking spaces in driveway available along with a private garden.Within a c.10 minute walk to stations: South Hampstead, West Hampstead, Finchley Road and Swiss Cottage.Summary & Exclusions:- Rent Amount: £2,850.00 per month (£657.69 per week)- Deposit / Bond: £2,850.00- 2 Bedrooms- 2 Bathrooms- Property comes furnished- Available to move in from 03 February, 2018- Minimum tenancy term is 12 months- Maximum number of tenants is 3- No DSS / Housing Benefit Applicants- No Students- No Pets, sorry- No Smokers- Family Friendly- Bills not included- Property has parking- Property has garden access- Property has fireplace- EPC Rating: C If calling, please quote reference: 317685 Fees:You will not be charged any admin fees.Referencing for tenants only costs £20 each, if requested by the landlord for this property.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay, although you may need to pay £20 per tenant to cover the cost of referencing if required by the landlord.",17246646,Flat,"[""Goldhurst Terrace, London NW6""]",658,658,51.541054,-0.187012,E09000007,Camden
48548820,"[""17126""]","[""147 Trafalgar Road, London""]","[""SE10 9TX""]","Hunters is delighted to introduce a lovely one bedroom, ground floor flat with separate kitchen and well served by the numerous amenities on Old Kent Road.","Hunters is delighted to introduce a lovely one bedroom, ground floor flat with separate kitchen and well served by the numerous amenities on Old Kent Road.Benefiting from a newly refurbished layout with modern décor, set back from Old Kent Road by the courtyard, the property comprises a bright and airy reception room, separate kitchen, spacious bedroom and a bathroom.Located within an easy distance of Elephant & Castle as well as Borough Stations (Bakerloo and Northern lines and National Rail), including the various bus links on Old Kent Road, it is ideally situated for links to the West End and the City. The Landlord for this property has been accredited by the London Landlord Accreditation Scheme. All marketing pictures are for reference only and might be from a similar property. All properties are let as seen when viewed.",20865870,Flat,"[""Kingsley Flats, Old Kent Road SE1""]",288,298,51.4922,-0.081962,E09000028,Southwark
43843167,"[""45699""]","[""38 Star Street, London""]","[""W2 1QB""]","The stunning apartment is situated on the second floor of this prestigious building which features a 24 hour concierge, lift service and secure underground parking.","Stunning interior designed 1 bedroom, 1bathroom luxury apartment situated on the fifth floor of this prestigious building which features 24 hour concierge, lift service, and secure underground parking.The stunning apartment comprises a beautiful reception room with superb views, a modern fitted open plan kitchen, 1 double bedroom, 1 bathroom and ample storage space.The apartment offers easy access to great transport links such as Paddington Train Station (Bakerloo, Hammersmith & City, Circle, District lines and Heathrow) Edgware Road (Circle, District and Bakerloo lines).",29292604,Flat,"[""Harbet Road, London W2""]",580,580,51.51912,-0.171811,E09000033,Westminster
49735536,"[""78310""]","[""37 Lisson Grove, London""]","[""NW1 6UB""]","A splendid 1 bedroom flat in Warwick Gardens, next to Kensington High Street. Recently Refurbished. Allocated parking Space.","Welcome to a splendid 1 bedroom apartment to rent in the prestigious Flat to Rent in Warwick Gardens, Kensington, Earl's Court, W14.The apartment went under a recent refurbishment throughout and offers a high standard of living.The property features a spacious living room with bow window, separate kitchen, bathroom and large double bedroom. The flat comes fully furnished as well. If you have a car, you can also benefit from your own allocated parking.Ideally located in the prestigious Warwick Gardens, the flat to rent is available on a 21 months Tenancy.LocationWarwick Gardens is a prestigious street of West Kensington. This safe area is famous for the splendid quality of the houses.The quietness of the residents is also assured by the presence of barriers at the entrances of Warwick Gardens, blocking traffics during from 10 pm through the night.Also, the flat is ideally located very close from Kensington High Street, reachable within 5 minutes walk. There, you'll find boutiques, shops, markets, cafes, and restaurant.The flat is also close to the famous Kensington Olympia centre, with various art, furniture and food exhibition throughout the year.Transports in the area are very convenient, with several buses running in the nearby streets. The closest stations are Earl's Court and Olympia.",27293662,Flat,"[""Warwick Gardens, Kensington, London W14""]",425,425,51.495224,-0.201422,E09000020,Kensington and Chelsea
50829846,"[""36976""]","[""11 Station Road, Sutton""]","[""SM2 6BG""]",Beautifully Refurbished 3 Bedroom Detached Bungalow in sought after South Sutton Cul-de-sac opposite Suttons New Harris Academy secondary school close to transport links and amenities.* New Kitchen &amp; Bathroom* Well maintained Gardens to front &amp; Rear.,"This charming Bungalow has been tastefully Refurbished by the current owners to a very good standard in our opinion. Neutrally decorated throughout with a newly fitted Kitchen & Bathroom/wc. Two receptions, new carpeting & cushion vinyl. Spacious storage is provided including the master bedroom with fitted wardrobe cupboard to one wall plus fitted drawer units. It is situated close to the Royal marsden hospital and Cancer Research unit and would make an ideal home for any family working or considering Education in the area.Accomodation comprises :-Part glazed front doorentrance hallwaySingle Radiator, Spacious storage cupboard with fitted shelving & cloaks space, Cupboard housing hot water tank with airing space, Cupboard housing washing machine with further storage, Downlighters, Access to loft space.Double aspect lounge ( 13’ x 13’ ) 3.98m x 3.98mBrick built feature fire place with fitted gas fire, Coved ceiling, Newly fitted carpet, Downlighters, Two double glazed windows.Refitted modern kitchen ( 11’4 X 7’4 ) 3.46m x 2.24mFitted with White high gloss high and low level units, Single drainer stainless steel sink unit with mixer tap, Integrated neff Electric oven, Gas hob with stainless steel extractor fan, Part tiled walls, Large Fridge & Freezer, Space for dishwasher, New cushion vinyl flooring, Double glazed window overlooking Rear Garden, leading to:-dining room ( 11’2 x 10’9 ) 3.28m x 3.42mCoved ceiling, Single Radiator, New cushion vinyl flooring, Double glazed window overlooking Garden, Double glazed door to Garden.Master bedroom ( 15’10 x 12’3 ) 4.83m x 3.75mFitted wardrobe and dressing table units to one wall, Built in drawer units, Single Radiator, Double glazed bay window.Bedroom two ( 12’6 x 10’9 ) 3.82m x 3.30mCoved ceiling, Double Radiator, Double glazed window.Bedroom three ( 9’8 x 8’9 ) 2.96m x 2.68mBuilt in single wardrobe cupboard, Single Radiator, Newly fitted Carpet, Double glazed window.Refitted modern bathroomFully tiled with White suite comprising panelled bath with overbath shower and fitted screen, White high gloss vanity storage unit with inset sink, Chrome mixer tap, Low flush w.C., Chrome heated towel rail, Downlighters, Two double glazed frosted windows.Outside :-FrontCrazy paved driveway and pathway to front door and rear Garden. Spacious mature lawn with border shrubs and plants, Outside light.Garage :- Up and over door, door to side entrance.Well maintained westerly facing rear gardenSpacious flagstone patio area with semi circular mature lawn, border trees and shrubs, Wrought iron gate leading to side entrance & Garage, Outside light & water tap.",21845986,Detached bungalow,"[""Bassett Close, Sutton, Surrey SM2""]",427,427,51.348503,-0.193229,E09000029,Sutton
48080888,"[""54584""]","[""39 Great Windmill Street""]","[""W1D 7LX""]",Key Features 1 double bedroom Integrated kitchen appliances Double Glazing Walking distance to Hatch End over ground station Parking available This highly desirable 1 bedroom apartment is situate... ** Property Reference: 398640 **,"Property Reference: 398640.Key Features1 double bedroomIntegrated kitchen appliances Double GlazingWalking distance to Hatch End over ground stationParking available This highly desirable 1 bedroom apartment is situated just a short walk from Hatch End over ground station with fast links into Euston. The property is conveniently located on the Hatch End high street with a host of shops and restaurants serving your day to day needs.The Metropolitan Line can be accessed at Pinner, this line commutes to the heart of central London within 30 minutes. Nearby Pinner park provides some lovely greenery in the area. Externally the stairs lead to a private front door and paved balcony area.The kitchen features integrated appliances and stainless steel appointments. The apartment comes unfurnished, however furnishings can be provided on request.Summary & Exclusions:- Rent Amount: £1,000.00 per month (£230.77 per week)- Deposit / Bond: £1,000.00- 1 Bedrooms- 1 Bathrooms- Property comes furnished or unfurnished (tenant can decide)- Available to move in from 29 July, 2018- Minimum tenancy term is 6 months- Maximum number of tenants is 2- No DSS / Housing Benefit Applicants- Students welcome to enquire- No Pets, sorry- No Smokers- Family Friendly- Bills not included- Property has parking- No Garden Access- EPC Rating: C If calling, please quote reference: 398640 Fees:You will not be charged any admin fees.Referencing for tenants only costs £20 each, if requested by the landlord for this property.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay, although you may need to pay £20 per tenant to cover the cost of referencing if required by the landlord.",28811288,Flat,"[""Uxbridge Road, London HA5""]",231,242,51.607254,-0.374816,E09000015,Harrow
47576516,"[""4243""]","[""53-55 Balham Hill, Balham, London""]","[""SW12 9DR""]",A delightfully presented Victorian garden flat within a short distance of Clapham South underground and the local amenities.,"A delightfully presented Victorian garden flat within a short distance of Clapham South underground and the local amenities. The flat boasts a lovely reception room/bedroom with high ceilings and wood floor boards, a modern, new kitchen with plenty of space for a dining table, a good sized private garden, a second double bedroom and a stylish bathroom with shower over the bath. Clapham South underground station and Clapham Common are only a short walk from the property, and the leisure facilities, cafes, restaurants and shops local to Clapham South, Balham and Abbeville are a stroll away from this much sought after flat.",23266862,Flat,"[""Cavendish Road, Clapham South, London SW12""]",450,450,51.453552,-0.144206,E09000022,Lambeth
